transacaoId:ID(Tx),tipo,valor,:LABEL
tx0,COMPRA A/V - R$ - APRES,165.00,Tx
tx1,SAQUE CASH/ATM BB,70.00,Tx
tx2,COMPRA A/V - R$ - APRES,111.00,Tx
tx3,COMPRA A/V - R$ - APRES,240.00,Tx
tx4,COMPRA A/V - R$ - APRES,500.00,Tx
tx5,COMPRA A/V - R$ - APRES,99.80,Tx
tx6,COMPRA A/V - R$ - APRES,41.70,Tx
tx7,COMPRA A/V - R$ - APRES,25.00,Tx
tx8,SAQUE CASH/ATM BB,150.00,Tx
tx9,COMPRA A/V - R$ - APRES,300.00,Tx
tx10,COMPRA A/V - R$ - APRES,100.90,Tx
tx11,COMPRA A/V - R$ - APRES,350.00,Tx
tx12,SAQUE CASH/ATM BB,200.00,Tx
tx13,COMPRA A/V - R$ - APRES,35.00,Tx
tx14,COMPRA A/V - R$ - APRES,43.70,Tx
tx15,SAQUE CASH/ATM BB,500.00,Tx
tx16,SAQUE CASH/ATM BB,800.00,Tx
tx17,COMPRA A/V - R$ - APRES,38.18,Tx
tx18,COMPRA A/V - R$ - APRES,158.51,Tx
tx19,COMPRA A/V - R$ - APRES,105.00,Tx
tx20,COMPRA A/V - R$ - APRES,70.00,Tx
tx21,SAQUE CASH/ATM BB,800.00,Tx
tx22,COMPRA A/V - R$ - APRES,68.00,Tx
tx23,COMPRA A/V - R$ - APRES,50.00,Tx
tx24,SAQUE CASH/ATM BB,150.00,Tx
tx25,SAQUE CASH/ATM BB,660.00,Tx
tx26,COMPRA A/V - R$ - APRES,27.31,Tx
tx27,COMPRA A/V - R$ - APRES,150.00,Tx
tx28,COMPRA A/V - R$ - APRES,65.00,Tx
tx29,SAQUE CASH/ATM BB,150.00,Tx
tx30,COMPRA A/V - R$ - APRES,490.00,Tx
tx31,COMPRA A/V - R$ - APRES,95.76,Tx
tx32,COMPRA A/V - R$ - APRES,262.00,Tx
tx33,COMPRA A/V - R$ - APRES,70.00,Tx
tx34,COMPRA A/V - R$ - APRES,73.20,Tx
tx35,COMPRA A/V - R$ - APRES,320.00,Tx
tx36,COMPRA A/V - R$ - APRES,340.00,Tx
tx37,COMPRA A/V - R$ - APRES,280.00,Tx
tx38,SAQUE CASH/ATM BB,800.00,Tx
tx39,COMPRA A/V - R$ - APRES,26.00,Tx
tx40,COMPRA A/V - R$ - APRES,98.00,Tx
tx41,COMPRA A/V - R$ - APRES,28.00,Tx
tx42,COMPRA A/V - R$ - APRES,15.00,Tx
tx43,COMPRA A/V - R$ - APRES,300.00,Tx
tx44,COMPRA A/V - R$ - APRES,276.00,Tx
