:START_ID(Portador),:END_ID(Tx)
ee345519c522657fe3625be5fe496231830bed7877f9360168ba42673c1b7382,tx11022
ee345519c522657fe3625be5fe496231830bed7877f9360168ba42673c1b7382,tx10198
6b9be318f85721e767db5590222c14f332060d1606b383d2789db7710d61234a,tx5888
9b63ec9cf52ac935f176d5edbce84e1b0ed2f69fe38c7858584574e85d5de5bf,tx4507
5808eaeef6d07ae9ba7bb5d20d8dc4fbf05ade43682dd9f6cb3c53f5556a1e20,tx7998
77e5d31ffaee79ab3514bb4f6748a11323e521de256a8606342f63d1752fc55b,tx2884
4a8df6f2abdea1423c13e2b836180cf879aa0c3caab170f8c2e9f2acc69e9a38,tx5307
95ee67bc17a63d50197dd20aaabffcc3c271ada4ca49a8b70727bcee25a8ffb9,tx5711
9ecd1a846578f688559848fe20011d3881f0dbec7d29c5bffbf6fba49db36442,tx4715
f2d4b83d8c442bbd712624f148cb7fdcbd60386d41a0aba109fed5c2260716a0,tx9539
4a365190bdd366d98b26c3326399ace2631f8e28bcb6cf589f12302141c17211,tx12829
dbc1dcae37ac7a7e58160bd996229268551e568e541c493abb22b2991da24875,tx9477
ee345519c522657fe3625be5fe496231830bed7877f9360168ba42673c1b7382,tx10156
95e7e1116e8c7dcad8eee90b95a731aa13a8c087ae3ef28383e1c876d7e7bb57,tx2223
ee345519c522657fe3625be5fe496231830bed7877f9360168ba42673c1b7382,tx10728
ee345519c522657fe3625be5fe496231830bed7877f9360168ba42673c1b7382,tx11185
d33f69a3998d946e91123e1a8ea940bcd405d4a04c1cfed234f2a35533e0c58b,tx11549
4a1e1c312c54a78c13438d7eeab85f02d2fd5d184950e6c0652977c1e9a6e0a8,tx5264
0f5ccdc51237c32cadf5a12f5dfb56c779a65de5352c4acebb060b71bfcebe3a,tx6574
5229af66b59465cb72b5a585d3ee2dd57b6afb0ea680df1487f823d20fff252a,tx1317
ee345519c522657fe3625be5fe496231830bed7877f9360168ba42673c1b7382,tx11014
c49977084867b85686924df1ace368ce1e24f469f04a8c5026d5ffc117c6ba5b,tx5330
cce90ee1c39a56ea2635fb1e044971de5a623c369668688b70803acfbbdb4a9a,tx8515
4783e7961aaa83042d9c1e238463101ccb3e429f480f1453e6776737d8909650,tx3830
624ad22ce0adf7bff626a0efc12a61bc6d78556f729a594a046b464b2f2c114a,tx4113
b86c88a4c9e68bcccc5c1ea5ab7f91c8eef5f1a2b9c5d12b6c297fca54bee95f,tx5984
538a32ed91d557011a535740f0a1a4f2b3b9e311020bcf67a3576ea65b92b86f,tx5812
bb7bedb17851e2d1b6cf1104110b29c7d1e7d7156886a2b6925de71d20332ef6,tx3302
42817ef9255084c85ff232854bafa88f49e87eaf609a1892f81c2afd97744f2a,tx4914
0bef581b8142f5d32210f1847a353d622b4ec00225fee1ab3425e651953979b3,tx6522
