:START_ID(Unidade_gestora),:END_ID(Portador)
65b9a6250daa08d8de58a25d5ea96647fd88f8940019f8cbb81a48022898896d,a4babebf97c7d7b6ae96a5041a7d3d9b78bda8bc1b965a96cb184ff490622e78
6f06e219436b00aab7daf4faa9f0b2aa66a6435d4eeb85cc7c1846f5370008bf,84eb828937738d5ae38bc0d32ae02b5f239a7fdcf8afe96d35db857bd18f74b3
081177d260c305fb18b9a290266384c422f5b6b626570154e2ed539174b00c13,b3a49ebd548940af560db549ca953986cce5d130aa7dfd333034073a4c338977
9b057a5358337c2f8d0cfd1d7512df738be9715159695be051416ad530e949a9,12239c001a1f91d53aaf22ad67dbabdc8c550ff0190f6a60c48e33bee8a85863
9b057a5358337c2f8d0cfd1d7512df738be9715159695be051416ad530e949a9,0bf6ff0ea845208c1dc7159d94ea36653d96917b20e467f3a648d9fbb45eaaca
6f06e219436b00aab7daf4faa9f0b2aa66a6435d4eeb85cc7c1846f5370008bf,badf202001276670649b2d63b56b00b4a7a56292b4cb6639975c597765b5dba4
abc9d3adfc9f219791a0b3b8ebf28b1bcd272bc69e547e1903d1691dde277acb,fff9b45611ba9becc712eea6360b53824c1e8aed494ada1face8baeabf8b0234
abc9d3adfc9f219791a0b3b8ebf28b1bcd272bc69e547e1903d1691dde277acb,cc1185f5b87bcf6a052e1f6b34ed567f2613fd7bfcde4c0e5dcae7650714738e
94bc6861cc171973583c67753ad1503611cfe375313034b7158826feb5bd2743,4a74d70311612f913ecf785597e384ecb8d80544ab6ecf086d1d699c4658dc28
747f3cae5353d25b463613472efae91b41b6eb2c24f4377d0a282993672c537b,2380935672675508b1c2f36c25388c407ec8c1fd33014fb13fb740416226bbe1
ebd2175591b965a1a328c3646f86bcd660aa604092a0cf5e3496479490099573,a3d592894804933da111876877b9e7f4708fd264fbc89a7acc2bfabea539a1c5
f17a6ad6eae42c79d2e94f4dac31bbd6a69a48eedb725204dce93293cf1a3b76,3c042b35a841339d0574a2cd00b41db9f118ac881c1c68485cfecdcb54fd8d24
01c11e60fa0203a32e339c68ee8fb31846775dbb9904da456f589b366a80bacc,bb27560b11ef7e4ab39a90963fceb1ddd8d010d2dd0ca50433024e7bf56b1850
443169bba2fb6e5e1f66e36acbd04263a39bfeda7b6bd2404d816f2c66cb5a5b,4a8df6f2abdea1423c13e2b836180cf879aa0c3caab170f8c2e9f2acc69e9a38
