:START_ID(Tx),:END_ID(Data)
tx10665,nna
tx872,20171211
tx9065,20171218
tx8090,20171214
tx6755,20171128
tx12167,20171220
tx6579,20171207
tx11085,nna
tx8772,20171205
tx1528,20171201
tx12414,20171219
tx7983,20171129
tx6079,20171201
tx5802,20171206
tx8061,20171201
tx12376,20171129
tx2801,20171202
tx5899,20171207
tx11775,20171213
tx5312,20171205
tx488,20171208
tx274,20171207
tx9857,20171213
tx8290,20171214
tx9452,20171212
tx10291,nna
tx8277,20171213
tx9060,20171214
tx9687,20171208
tx649,20171214
tx6088,20171204
tx10390,nna
tx5800,20171129
tx3195,20171212
tx8924,20171130
tx936,20171128
tx2784,20171211
tx8667,20171204
tx12907,20171206
tx5753,20171128
tx13512,nna
tx13737,nna
tx2703,20171124
tx3513,20171129
tx7823,20171128
tx11367,20171211
tx9017,20171128
tx13532,nna
tx7770,20171212
tx3299,20171204
tx7241,20171130
tx1730,20171206
tx10695,nna
tx10483,nna
tx60,20171208
tx2684,20171206
tx3774,20171213
tx7392,20171130
tx7759,20171127
tx8291,20171207
tx11106,nna
tx214,20171214
tx10190,nna
tx3287,20171129
tx4311,20171214
tx2416,20171208
tx10478,nna
tx5684,20171212
tx5698,20171211
tx9569,20171127
tx4418,20171215
tx10421,nna
tx12326,20171128
tx9925,20171207
tx4473,20171215
tx4212,20171219
tx4800,20171124
tx12661,20171201
tx13411,nna
tx8212,20171212
tx11759,20171211
tx5446,20171212
tx2036,20171213
tx1948,20171130
tx2656,20171215
tx9810,20171201
tx1461,20171204
tx5564,20171207
tx6592,20171205
tx7261,20171206
tx13093,20171213
tx9326,20171207
tx8334,20171221
tx7919,20171201
tx4250,20171213
tx1186,20171201
tx9868,20171130
tx247,20171204
tx8830,20171127
tx12870,20171205
tx12794,20171219
tx13046,20171128
tx11148,nna
tx4279,20171208
tx7516,20171128
tx7566,20171204
tx10289,nna
tx11295,20171212
tx13655,nna
tx11059,nna
tx13019,20171129
tx815,20171208
tx10499,nna
tx7324,20171207
tx6250,20171207
tx9808,20171219
tx6522,20171205
tx2576,20171124
tx11315,20171215
tx2886,20171206
tx12222,20171206
tx13656,nna
tx1231,20171201
tx13036,20171208
tx4368,20171214
tx3168,20171127
tx11074,nna
tx1284,20171212
tx2358,20171129
tx8964,20171215
tx2983,20171215
tx3714,20171207
tx7822,20171128
tx2760,20171130
tx2863,20171220
tx7449,20171124
tx9239,20171215
tx3274,20171212
tx6188,20171204
tx4916,20171201
tx12182,20171221
tx10045,nna
tx5910,20171124
tx6009,20171207
tx7992,20171215
tx10170,nna
tx3949,20171212
tx3589,20171207
tx1152,20171211
tx9169,20171205
tx2868,20171207
tx11383,20171204
tx12227,20171221
tx129,20171221
tx6378,20171206
tx7762,20171201
tx8371,20171206
tx3563,20171212
tx7196,20171127
tx3412,20171208
tx3924,20171211
tx5224,20171208
tx341,20171212
tx7266,20171202
tx3056,20171129
tx8427,20171215
tx12295,20171129
tx6069,20171127
tx8030,20171127
tx7267,20171204
tx11097,nna
tx2846,20171130
tx9004,20171130
tx10811,nna
tx3041,20171201
tx3844,20171207
tx7002,20171204
tx3176,20171212
tx5631,20171124
tx4768,20171206
tx9534,20171205
tx6445,20171205
tx500,20171204
tx9478,20171220
tx10457,nna
tx4951,20171213
tx13858,nna
tx953,20171207
tx3482,20171208
tx6990,20171204
tx2490,20171127
tx6195,20171129
tx10282,nna
tx10697,nna
tx1795,20171128
tx9302,20171211
tx6794,20171212
tx100,20171207
tx240,20171209
tx6841,20171207
tx11823,20171203
tx12494,20171212
tx13463,nna
tx2711,20171218
tx2727,20171222
tx188,20171208
tx1514,20171207
tx1952,20171212
tx1113,20171211
tx3132,20171211
tx11922,20171206
tx12519,20171211
tx5683,20171211
tx5041,20171128
tx11193,nna
tx11021,nna
tx2415,20171207
tx6833,20171206
tx5619,20171212
tx8581,20171206
tx7131,20171127
tx7787,20171127
tx12170,20171206
tx11141,nna
tx11433,20171130
tx8660,20171127
tx1830,20171204
tx13529,nna
tx10941,nna
tx11529,20171215
tx6252,20171204
tx10113,nna
tx9047,20171128
tx6194,20171128
tx10849,nna
tx535,20171206
tx11229,nna
tx9131,20171213
tx13062,20171204
tx10022,nna
tx2655,20171213
tx1553,20171205
tx8911,20171205
tx4707,20171213
tx5810,20171205
tx522,20171220
tx1727,20171207
tx329,20171205
tx8117,20171207
tx11598,20171204
tx1621,20171127
tx12882,20171129
tx7165,20171207
tx384,20171130
tx8979,20171205
tx6241,20171201
tx13916,20171225
tx11216,nna
tx2601,20171205
tx10304,nna
tx6212,20171127
tx6294,20171205
tx5903,20171124
tx237,20171208
tx7047,20171212
tx11989,20171211
tx8214,20171207
tx6884,20171207
tx1043,20171209
tx8629,20171215
tx9178,20171129
tx12352,20171130
tx13672,nna
tx1628,20171127
tx576,20171205
tx1319,20171207
tx3127,20171201
tx13381,nna
tx6036,20171204
tx10055,nna
tx2009,20171130
tx12154,20171208
tx7982,20171206
tx9173,20171204
tx13588,nna
tx12957,20171127
tx3703,20171221
tx11183,nna
tx5715,20171213
tx2697,20171206
tx12998,20171206
tx8654,20171212
tx13873,nna
tx8339,20171129
tx1491,20171213
tx1125,20171211
tx9429,20171128
tx5449,20171214
tx12342,20171206
tx13182,20171201
tx13647,nna
tx10269,nna
tx11312,20171205
tx8889,20171127
tx9247,20171206
tx6514,20171128
tx5026,20171214
tx11810,20171129
tx12580,20171211
tx10491,nna
tx3782,20171211
tx985,20171207
tx3255,20171206
tx2002,20171213
tx13380,nna
tx12435,20171206
tx9940,20171208
tx3657,20171211
tx5612,20171128
tx7543,20171215
tx1379,20171204
tx9537,20171204
tx7666,20171212
tx7120,20171204
tx6985,20171204
tx7660,20171127
tx10252,nna
tx10393,nna
tx9385,20171207
tx13489,nna
tx10781,nna
tx11780,20171213
tx11787,20171216
tx12906,20171129
tx7717,20171108
tx12301,20171127
tx13652,nna
tx10690,nna
tx9465,20171124
tx10286,nna
tx3781,20171206
tx8069,20171226
tx10833,nna
tx983,20171204
tx8834,20171127
tx9996,20171127
tx2292,20171214
tx10812,nna
tx86,20171214
tx5309,20171128
tx5352,20171209
tx12392,20171201
tx4528,20171213
tx8269,20171207
tx13104,20171220
tx769,20171128
tx1918,20171211
tx10873,nna
tx2143,20171206
tx10202,nna
tx10689,nna
tx9632,20171207
tx4575,20171205
tx9686,20171130
tx6741,20171211
tx10583,nna
tx3406,20171220
tx5145,20171215
tx747,20171206
tx761,20171128
tx4730,20171206
tx10264,nna
tx2545,20171201
tx3578,20171208
tx13398,nna
tx2451,20171205
tx1584,20171211
tx10316,nna
tx4158,20171204
tx9137,20171213
tx136,20171124
tx8122,20171130
tx13013,20171213
tx2627,20171204
tx4028,20171214
tx10272,nna
tx1958,20171201
tx2300,20171208
tx5359,20171127
tx5005,20171205
tx12635,20171220
tx10083,nna
tx10121,nna
tx9348,20171207
tx219,20171204
tx5811,20171128
tx5034,20171124
tx10467,nna
tx13065,20171213
tx1206,20171130
tx6979,20171201
tx3107,20171201
tx4967,20171207
tx514,20171218
tx8538,20171222
tx12643,20171219
tx9357,20171129
tx800,20171218
tx11022,nna
tx2496,20171218
tx13815,nna
tx3594,20171128
tx373,20171128
tx12909,20171212
tx12448,20171220
tx3974,20171205
tx10680,nna
tx7748,20171128
tx2998,20171221
tx5750,20171206
tx2634,20171211
tx1161,20171206
tx9343,20171127
tx633,20171213
tx11029,nna
tx7736,20171209
tx5012,20171201
tx12072,20171130
tx5633,20171127
tx9835,20171129
tx13848,nna
tx2025,20171204
tx7083,20171204
tx4369,20171207
tx7469,20171212
tx8418,20171215
tx8566,20171205
tx9143,20171213
tx5975,20171205
tx1533,20171211
tx8523,20171222
tx6708,20171214
tx7122,20171129
tx9503,20171215
tx11536,20171211
tx7041,20171206
tx2804,20171130
tx277,20171203
tx1358,20171211
tx3200,20171208
tx12770,20171201
tx1429,20171207
tx13464,nna
tx12783,20171208
tx6524,20171201
tx2158,20171206
tx6663,20171205
tx91,20171206
tx2553,20171127
tx7897,20171219
tx3804,20171204
tx8644,20171214
tx443,20171206
tx11089,nna
tx5260,20171206
tx6439,20171201
tx11078,nna
tx2572,20171205
tx11686,20171221
tx5392,20171211
tx89,20171208
tx158,20171218
tx383,20171128
tx3088,20171222
tx10775,nna
tx4297,20171201
tx3856,20171201
tx5313,20171128
tx6690,20171207
tx8161,20171213
tx11009,nna
tx3522,20171130
tx10381,20171130
tx9610,20171130
tx9777,20171208
tx12992,20171213
tx4051,20171128
tx534,20171204
tx5123,20171206
tx7629,20171127
tx9110,20171207
tx3621,20171201
tx4930,20171208
tx5085,20171128
tx8103,20171212
tx12405,20171204
tx7900,20171213
tx731,20171130
tx5073,20171211
tx10166,nna
tx667,20171221
tx1971,20171130
tx9557,20171201
tx5060,20171201
tx673,20171208
tx539,20171130
tx6644,20171206
tx6968,20171204
tx2650,20171214
tx1638,20171211
tx7921,20171204
tx7087,20171130
tx10460,nna
tx12016,20171128
tx463,20171130
tx6150,20171129
tx429,20171201
tx3930,20171127
tx12286,20171130
tx832,20171211
tx5783,20171214
tx2382,20171130
tx1241,20171206
tx4665,20171130
tx9050,20171208
tx10182,nna
tx12583,20171213
tx1259,20171208
tx2715,20171214
tx391,20171130
tx346,20171204
tx6197,20171127
tx5251,20171221
tx11374,20171215
tx12207,20171130
tx12390,20171204
tx10618,nna
tx2000,20171208
tx13269,20171215
tx4356,20171211
tx8603,20171129
tx10417,nna
tx497,20171205
tx6016,20171130
tx12316,20171207
tx12360,20171214
tx13439,nna
tx13700,nna
tx5599,20171209
tx2031,20171213
tx1878,20171211
tx2252,20171220
tx5755,20171207
tx10273,nna
tx444,20171206
tx10389,nna
tx13744,nna
tx5450,20171214
tx12457,20171220
tx285,20171219
tx7796,20171128
tx6085,20171128
tx3997,20171127
tx3215,20171204
tx7155,20171206
tx4845,20171215
tx5226,20171204
tx13837,nna
tx5508,20171206
tx6246,20171129
tx9409,20171130
tx4968,20171206
tx5385,20171212
tx8133,20171207
tx11559,20171205
tx1759,20171204
tx1334,20171207
tx5322,20171130
tx10326,nna
tx11297,20171130
tx12468,20171206
tx8359,20171204
tx8933,20171201
tx892,20171129
tx4338,20171214
tx6815,20171128
tx13498,nna
tx3139,20171214
tx7410,20171129
tx12415,20171222
tx12899,20171202
tx12973,20171215
tx2206,20171204
tx7378,20171214
tx12803,20171208
tx12229,20171128
tx6043,20171128
tx3320,20171204
tx10886,nna
tx4868,20171207
tx10330,nna
tx12345,20171211
tx3075,20171212
tx7232,20171218
tx3635,20171205
tx6046,20171129
tx10789,nna
tx11342,20171218
tx8950,20171219
tx10529,nna
tx11210,nna
tx5946,20171128
tx6632,20171212
tx13570,nna
tx883,20171130
tx12445,20171204
tx1405,20171218
tx6423,20171206
tx6305,20171201
tx5883,20171208
tx2877,20171212
tx4292,20171212
tx8042,20171130
tx1882,20171201
tx8578,20171207
tx3077,20171212
tx13101,20171130
tx5100,20171206
tx8472,20171208
tx2267,20171211
tx12131,20171212
tx6348,20171207
tx11566,20171201
tx5770,20171129
tx10780,nna
tx7631,20171129
tx516,20171211
tx1164,20171129
tx8188,20171212
tx13022,20171215
tx5109,20171208
tx8260,20171130
tx212,20171128
tx7253,20171130
tx3922,20171215
tx4689,20171128
tx9937,20171211
tx1565,20171201
tx11373,20171215
tx9253,nna
tx2885,20171204
tx4578,20171211
tx5565,20171201
tx7920,20171216
tx4535,20171212
tx7254,20171207
tx13450,nna
tx4230,20171205
tx4364,20171215
tx7491,20171130
tx3789,20171127
tx502,20171129
tx2602,20171215
tx4500,20171205
tx13620,nna
tx7570,20171128
tx8309,20171222
tx928,20171201
tx6940,20171204
tx6059,20171207
tx2594,20171219
tx1729,20171128
tx791,20171218
